10
[7, 3, 3, 142.482, 799162.115, 'ok', 'up', 7]
[7, 3, 3, 799162.115, 48.552, 'up', 'ok', 8]
[83, 3, 3, 277.936, 1583844.181, 'ok', 'up', 27]
[83, 3, 3, 1583844.181, 40.34, 'up', 'ok', 28]
[86, 9, 9, 397.855, 1979676.455, 'ok', 'up', 17]
[86, 9, 16, 1979676.455, 0.008, 'up', 'ok', 18]
[90, 3, 3, 131.729, 469207.853, 'ok', 'up', 15]
[90, 3, 3, 469207.853, 10.362, 'up', 'ok', 16]
[130, 3, 3, 177.992, 2243665.514, 'ok', 'up', 23]
[130, 3, 19, 2243665.514, 0.015, 'up', 'ok', 24]
[149, 3, 3, 262.371, 1796207.068, 'ok', 'up', 31]
[149, 3, 4, 1796207.068, 44.957, 'up', 'ok', 32]
[150, 3, 3, 64.882, 2502471.059, 'ok', 'up', 32]
[150, 3, 19, 2502471.059, 0.066, 'up', 'ok', 33]
[159, 3, 3, 282.383, 2244221.819, 'ok', 'up', 25]
[159, 3, 19, 2244221.819, 0.005, 'up', 'ok', 26]
[183, 3, 3, 10.687, 466744.102, 'ok', 'up', 27]
[183, 3, 3, 466744.102, 472.803, 'up', 'ok', 28]
[203, 9, 9, 275.378, 1322856.766, 'ok', 'up', 27]
[203, 9, 9, 1322856.766, 310.456, 'up', 'ok', 28]
[208, 9, 10, 3010.761, 1743.586, 'ok', 'up', 21]
[208, 10, 11, 1743.586, 0.173, 'up', 'ok', 22]
[248, 3, 3, 216.854, 2330913.136, 'ok', 'up', 19]
[248, 3, 19, 2330913.136, 0.003, 'up', 'ok', 20]
[265, 11, 18, 351603.906, 4225.58, 'ok', 'up', 18]
[265, 18, 21, 4225.58, 0.0, 'up', 'ok', 19]
[268, 9, 16, 94.604, 305379.572, 'ok', 'up', 71]
[268, 16, 19, 305379.572, 0.0, 'up', 'ok', 72]
[276, 20, 2, 37278.054, 2612.074, 'ok', 'up', 3]
[276, 2, 3, 2612.074, 0.049, 'up', 'ok', 4]
[305, 4, 5, 297.962, 2561.337, 'ok', 'up', 5]
[305, 5, 6, 2561.337, 0.0, 'up', 'ok', 6]
[355, 3, 3, 168.599, 1521804.437, 'ok', 'up', 47]
[355, 3, 19, 1521804.437, 0.005, 'up', 'ok', 48]
[401, 22, 10, 12598.098, 853.697, 'ok', 'up', 78]
[401, 10, 11, 853.697, 0.311, 'up', 'ok', 79]
[433, 3, 3, 347.735, 1275174.907, 'ok', 'up', 26]
[433, 3, 3, 1275174.907, 8.358, 'up', 'ok', 27]
[433, 3, 19, 8.358, 850654.298, 'ok', 'up', 28]
[433, 19, 3, 850654.298, 0.0, 'up', 'ok', 29]
[449, 3, 3, 137.071, 749636.583, 'ok', 'up', 66]
[449, 3, 3, 749636.583, 11.138, 'up', 'ok', 67]
[474, 3, 19, 156.695, 2124611.762, 'ok', 'up', 33]
[474, 19, 3, 2124611.762, 0.0, 'up', 'ok', 34]
[534, 9, 9, 220.679, 1807999.126, 'ok', 'up', 15]
[534, 9, 9, 1807999.126, 9.134, 'up', 'ok', 16]
[539, 3, 3, 127.381, 1984368.313, 'ok', 'up', 19]
[539, 3, 19, 1984368.313, 0.001, 'up', 'ok', 20]
[571, 3, 19, 690.822, 1210125.767, 'ok', 'up', 11]
[571, 19, 3, 1210125.767, 0.0, 'up', 'ok', 12]
[572, 3, 3, 478.222, 2587381.973, 'ok', 'up', 7]
[572, 3, 19, 2587381.973, 0.002, 'up', 'ok', 8]
[612, 9, 9, 236.161, 1732931.987, 'ok', 'up', 23]
[612, 9, 19, 1732931.987, 316.618, 'up', 'ok', 24]
[617, 3, 3, 568.82, 2068872.443, 'ok', 'up', 32]
[617, 3, 19, 2068872.443, 0.005, 'up', 'ok', 33]
[655, 3, 3, 20.335, 1866288.514, 'ok', 'up', 40]
[655, 3, 19, 1866288.514, 0.003, 'up', 'ok', 41]
[688, 11, 15, 269500.766, 3697.059, 'ok', 'up', 21]
[688, 15, 13, 3697.059, 0.0, 'up', 'ok', 22]
[727, 3, 3, 75.199, 1278378.909, 'ok', 'up', 30]
[727, 3, 3, 1278378.909, 49.378, 'up', 'ok', 31]
[739, 3, 3, 95.103, 2242672.256, 'ok', 'up', 21]
[739, 3, 19, 2242672.256, 0.002, 'up', 'ok', 22]
[759, 3, 18, 5843.681, 3442.214, 'ok', 'up', 9]
